inputName,text,data,bss
values_11,976,1600,22
values_19,1912,64,22
0,,,
0,,,
0,,,
values_5,976,1444,22
values_40,2524,100,22
values_70,1998,400,22
values_23,2108,484,22
values_72,2604,1156,22
values_79,1436,36,22
0,,,
values_87,976,1764,22
values_6,2316,676,22
values_68,976,1600,22
values_69,1998,400,22
values_1,976,1600,22
values_45,976,1600,22
values_33,1696,196,22
values_15,976,1600,22
values_93,1696,196,22
0,,,
values_25,3272,144,22
values_26,2524,100,22
0,,,
values_71,2406,900,22
values_76,976,1936,22
values_7,1912,64,22
values_50,976,1936,22
values_22,976,1600,22
values_4,1912,64,22
values_32,1096,16,22
values_77,1696,196,22
0,,,
values_42,976,1936,22
values_13,2108,484,22
values_41,1696,196,22
values_55,976,1936,22
0,,,
values_66,1796,256,22
0,,,
values_62,1912,64,22
0,,,
0,,,
0,,,
values_58,1912,64,22
values_64,2316,676,22
values_83,3272,144,22
values_94,3272,144,22
values_0,1436,36,22
0,,,
0,,,
0,,,
values_61,2406,900,22
values_43,1796,256,22
0,,,
values_54,2212,576,22
0,,,
values_59,1096,16,22
0,,,
values_74,976,1444,22
values_90,2406,900,22
values_18,976,1600,22
values_52,2524,100,22
values_44,2310,784,22
values_17,2108,484,22
0,,,
values_49,2524,100,22
values_86,1696,196,22
values_37,2108,484,22
values_56,1096,16,22
0,,,
0,,,
0,,,
0,,,
values_57,976,1764,22
values_88,1096,16,22
values_10,1096,16,22
values_53,1796,256,22
values_8,2316,676,22
values_39,2524,100,22
values_47,2316,676,22
0,,,
values_89,2504,1024,22
values_51,976,1296,22
values_14,1696,196,22
values_28,976,1764,22
values_16,976,1444,22
values_34,976,1444,22
values_82,2504,1024,22
values_46,2108,484,22
values_27,976,1296,22
0,,,
values_9,976,1764,22
values_92,1896,324,22
0,,,
values_98,1998,400,22
0,,,
0,,,
0,,,
