inputName,text,data,bss
values_11,5802,5196,2856
values_19,5734,12492,6504
values_12,5870,7116,3816
values_38,5734,17868,9192
values_81,5814,5628,3072
values_5,5734,9548,5032
values_40,5770,4092,2304
values_70,5790,4796,2656
values_23,5734,11708,6112
values_72,6016,2748,1632
values_79,5734,14156,7336
values_78,5878,2892,1704
values_87,5850,6588,3552
values_6,6026,3068,1792
values_68,5870,7116,3816
values_69,5734,10236,5376
values_1,5790,4796,2656
values_45,5734,11708,6112
values_33,5870,7116,3816
values_15,5814,5628,3072
values_93,6386,3516,2016
values_24,5802,5196,2856
values_25,5734,10236,5376
values_26,5734,13308,6912
values_48,5734,17868,9192
values_71,6026,3068,1792
values_76,5758,3788,2152
values_7,5708,8892,4704
values_50,5734,15948,8232
values_22,5814,5628,3072
values_4,5770,4092,2304
values_32,5770,4092,2304
values_77,5734,11708,6112
values_91,5734,12492,6504
values_42,5790,4796,2656
values_13,6016,2748,1632
values_41,5734,12492,6504
values_55,5734,10236,5376
values_31,5802,5196,2856
values_66,5734,11708,6112
values_65,6026,3068,1792
values_62,5878,2892,1704
values_21,5734,14156,7336
values_95,5790,4796,2656
values_84,5708,8892,4704
values_58,5708,8268,4392
values_64,5708,7676,4096
values_83,5730,18876,9696
values_94,6386,3516,2016
values_0,5730,18876,9696
values_99,5734,14156,7336
values_96,5734,17868,9192
values_67,5770,4092,2304
values_61,6386,3516,2016
values_43,5786,2636,1576
values_2,5708,8268,4392
values_54,6194,3276,1896
values_30,5734,15036,7776
values_59,5734,10236,5376
values_85,5734,15036,7776
values_74,5708,8892,4704
values_90,5734,17868,9192
values_18,5878,2892,1704
values_52,5790,4796,2656
values_44,5786,2636,1576
values_17,5734,15036,7776
values_36,5734,10956,5736
values_49,5786,2636,1576
values_86,6026,3068,1792
values_37,6386,3516,2016
values_56,5734,10236,5376
values_63,5734,9548,5032
values_35,5786,2636,1576
values_97,6386,3516,2016
values_75,5708,8268,4392
values_57,5786,2636,1576
values_88,5734,10956,5736
values_10,5734,13308,6912
values_53,6386,3516,2016
values_8,5814,5628,3072
values_39,5734,17868,9192
values_47,5734,11708,6112
values_60,5802,5196,2856
values_89,6026,3068,1792
values_51,5878,2892,1704
values_14,5758,3788,2152
values_28,5734,15036,7776
values_16,5734,9548,5032
values_34,5814,5628,3072
values_82,5734,12492,6504
values_46,5734,17868,9192
values_27,5734,16892,8704
values_20,5734,15948,8232
values_9,6194,3276,1896
values_92,5734,15948,8232
values_3,5780,4428,2472
values_98,5730,18876,9696
values_29,5708,7676,4096
values_80,6016,2748,1632
values_73,5734,12492,6504
