inputName,text,data,bss
values_11,12160,720,664
values_19,12128,656,632
values_12,11776,1600,1104
values_38,12016,432,520
values_81,11776,1200,904
values_5,12016,432,520
values_40,11776,1296,952
values_70,11984,384,496
values_23,11776,1944,1272
values_72,13536,272,440
values_79,11952,344,472
values_78,12240,160,384
values_87,11776,1024,816
values_6,12240,160,384
values_68,12400,192,400
values_69,11776,1392,1000
values_1,13184,176,392
values_45,12240,160,384
values_33,12128,656,632
values_15,11984,384,496
values_93,11776,2064,1336
values_24,11760,2192,1400
values_25,11776,1024,816
values_26,13184,176,392
values_48,13184,176,392
values_71,11904,304,456
values_76,12128,656,632
values_7,11952,344,472
values_50,13104,240,424
values_22,11840,152,376
values_4,11776,1392,1000
values_32,12096,592,600
values_77,11776,944,776
values_91,12048,480,544
values_42,12160,720,664
values_13,11776,1496,1048
values_41,12128,656,632
values_55,11776,1496,1048
values_31,12160,720,664
values_66,11776,1824,1216
values_65,11840,152,376
values_62,11776,2064,1336
values_21,11776,1496,1048
values_95,11776,944,776
values_84,11776,1024,816
values_58,11984,384,496
values_64,12128,656,632
values_83,12400,192,400
values_94,11776,1712,1160
values_0,12080,536,568
values_99,11776,1392,1000
values_96,13104,240,424
values_67,11776,1296,952
values_61,12400,192,400
values_43,11984,384,496
values_2,11776,2064,1336
values_54,12720,216,408
values_30,11776,1712,1160
values_59,11776,1112,856
values_85,12048,480,544
values_74,13536,272,440
values_90,13104,240,424
values_18,11776,2064,1336
values_52,12080,536,568
values_44,12048,480,544
values_17,13184,176,392
values_36,11760,2192,1400
values_49,11776,2064,1336
values_86,11952,344,472
values_37,11776,1600,1104
values_56,11776,1392,1000
values_63,11776,1392,1000
values_35,11776,1944,1272
values_97,11904,304,456
values_75,12096,592,600
values_57,11776,792,696
values_88,11760,2192,1400
values_10,11776,944,776
values_53,13104,240,424
values_8,11776,1496,1048
values_39,11776,1024,816
values_47,11776,1024,816
values_60,11776,1112,856
values_89,12128,656,632
values_51,12720,216,408
values_14,12096,592,600
values_28,13536,272,440
values_16,11984,384,496
values_34,11776,1112,856
values_82,12016,432,520
values_46,11776,1824,1216
values_27,11776,1392,1000
values_20,12080,536,568
values_9,11776,1112,856
values_92,12048,480,544
values_3,11776,1112,856
values_98,11840,152,376
values_29,11776,944,776
values_80,13536,272,440
values_73,11776,1296,952
